Name,X,Y,Rotation,Value,Package
C1,19.77,8.43,0,100nf,C1206FAB
C2,16.62,12.44,90,100nF,C1206FAB
C3,11.67,12.42,90,10nF,C1206FAB
C4,14.28,12.42,90,1uF,C1206FAB
D1,29.73,8.96,180,LEDFAB1206,LED1206FAB
D2,29.73,6.65,180,LEDFAB1206,LED1206FAB
U1,25.16,14.7,180,INTERFACE-FT232RL(SSOP28),SSOP28-0.65-10.2X5.2MM
R1,25.03,20.81,0,10k,R1206FAB
R2,34.48,11.7,90,100E,R1206FAB
R3,37.17,11.67,90,100E,R1206FAB
USB_MINI/MICRO,5.49,12.26,0,USB_MINIB,USB_MINIB
